City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
566,Etchojoa,MX,79.27,clear sky,26.9167,-109.6333,Cuadra RT
567,Lazaro Cardenas,MX,78.31,overcast clouds,17.9583,-102.2,quinta antigua
570,Wajir,KE,75.85,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
571,Swan Hill,AU,75.11,clear sky,-35.3378,143.5544,Lazy River Motor Inn
575,Jiazi,CN,76.77,overcast clouds,22.8779,116.067,Hotel Jin Hao
578,Yanam,IN,79.2,overcast clouds,16.7333,82.2167,The Regency Hotel
580,Mareeba,AU,82.33,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
585,Launceston,AU,72.61,scattered clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
592,Nishihara,JP,78.46,scattered clouds,26.1842,127.7558,Minshuku Agaihama
595,Pailon,BO,81.5,broken clouds,-17.65,-62.75,Alojamiento pailon
596,Kihei,US,82.42,scattered clouds,20.785,-156.4656,Maui Sunset
600,Port Macquarie,AU,76.96,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
601,Tura,IN,73.94,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
602,Malakal,SS,71.96,few clouds,9.5334,31.6605,Nile Palace Hotel
603,Muli,MV,82.36,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
606,Labrea,BR,73.92,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
607,Mathathane,BW,71.42,clear sky,-22.2687,28.7495,Selepswe Resort
608,Guna,IN,70.27,scattered clouds,24.65,77.3167,Hotel G K Jain
611,La Palma,US,78.35,mist,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
612,Dzaoudzi,YT,78.69,few clouds,-12.7887,45.2699,Le Rocher
614,Marawi,PH,75.65,broken clouds,7.9986,124.2928,Derogongan Residence
620,Xochistlahuaca,MX,72.21,scattered clouds,16.7833,-98.25,La frontera
626,Kieta,PG,84.18,light rain,-6.2167,155.6333,Uruna Bay Retreat
635,Villa Union,MX,82.02,clear sky,23.2,-106.2333,My Fantasy Auto-Hotel
638,Sungaipenuh,ID,76.05,overcast clouds,-2.0833,101.3833,penginapan citra alam
640,Abu Zabad,SD,84.63,overcast clouds,12.35,29.25,حامد محمد نور
641,Safaga,EG,71.55,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
643,Pandan,PH,83.3,few clouds,14.0453,124.1694,Bonifacio Lodge
644,Kot Samaba,PK,77.18,few clouds,28.5522,70.4684,Nadeem Sweet Mart
645,Poso,ID,86.92,scattered clouds,-1.3959,120.7524,Hotel 77 Poso
647,Carupano,VE,77.31,overcast clouds,10.6678,-63.2585,Hotel La dorada
651,Luganville,VU,80.13,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
652,Lhokseumawe,ID,79.7,light rain,5.1801,97.1507,OYO 3278 Penginapan Alfajri
654,Aborlan,PH,86.47,overcast clouds,9.4352,118.5492,Kevina Transient House
655,Vila Do Maio,CV,75.99,overcast clouds,15.1333,-23.2167,Hotel Marilu
659,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
664,Kanniyakumari,IN,78.93,light rain,8.0833,77.5667,Sparsa
665,Maues,BR,76.41,scattered clouds,-3.3836,-57.7186,Hotel Miramar
666,Nizwa,OM,73.44,clear sky,22.9333,57.5333,Orient Apartments
667,Prachuap Khiri Khan,TH,80.91,overcast clouds,12.2167,99.75,ผกากรองรีสอร์ท
669,Bonthe,SL,77.99,clear sky,7.5264,-12.505,Bonthe Holiday Village
673,Monkey Bay,MW,81.05,scattered clouds,-14.0728,34.9201,Monkey Bay Beach Lodge
675,Belmonte,BR,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
677,Qeshm,IR,76.89,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
679,Aswan,EG,74.5,clear sky,24.0934,32.907,Nuba Nile
682,Brisbane,AU,80.65,overcast clouds,-27.4679,153.0281,Royal On The Park Brisbane
683,Santa Vitoria,BR,73.76,broken clouds,-18.8386,-50.1214,Center Hotel
